ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
NGA,South South,6688661,Polio 0 vaccination received,47.8,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_OP0,93906050,I,433010,1433060,Region,South South,0,,0,1,CHVACCCOP0,NGDHS2003433010,2003,DHS,120,92,,,1
NGA,North Central,7226199,Polio 1 vaccination received,70,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_OP1,93906060,I,433005,1433010,Region,North Central,0,,0,1,CHVACCCOP1,NGDHS2003433005,2003,DHS,149,181,,,1
NGA,North East,5429011,Polio 1 vaccination received,61.6,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_OP1,93906060,I,433006,1433020,Region,North East,0,,0,1,CHVACCCOP1,NGDHS2003433006,2003,DHS,219,236,,,1
NGA,North West,2102127,Polio 1 vaccination received,54.4,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_OP1,93906060,I,433007,1433030,Region,North West,0,,0,1,CHVACCCOP1,NGDHS2003433007,2003,DHS,356,311,,,1
NGA,South East,6894069,Polio 1 vaccination received,80.7,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_OP1,93906060,I,433008,1433040,Region,South East,0,,0,1,CHVACCCOP1,NGDHS2003433008,2003,DHS,74,91,,,1
NGA,South West,7553932,Polio 1 vaccination received,93,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_OP1,93906060,I,433009,1433050,Region,South West,0,,0,1,CHVACCCOP1,NGDHS2003433009,2003,DHS,81,104,,,1
NGA,South South,6688662,Polio 1 vaccination received,86,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_OP1,93906060,I,433010,1433060,Region,South South,0,,0,1,CHVACCCOP1,NGDHS2003433010,2003,DHS,120,92,,,1
NGA,North Central,7226200,Polio 2 vaccination received,52.6,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_OP2,93906070,I,433005,1433010,Region,North Central,0,,0,1,CHVACCCOP2,NGDHS2003433005,2003,DHS,149,181,,,1
NGA,North East,5429012,Polio 2 vaccination received,41.7,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_OP2,93906070,I,433006,1433020,Region,North East,0,,0,1,CHVACCCOP2,NGDHS2003433006,2003,DHS,219,236,,,1
NGA,North West,2102133,Polio 2 vaccination received,39.9,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_OP2,93906070,I,433007,1433030,Region,North West,0,,0,1,CHVACCCOP2,NGDHS2003433007,2003,DHS,356,311,,,1
NGA,South East,6894070,Polio 2 vaccination received,68.1,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_OP2,93906070,I,433008,1433040,Region,South East,0,,0,1,CHVACCCOP2,NGDHS2003433008,2003,DHS,74,91,,,1
NGA,South West,7553933,Polio 2 vaccination received,83.1,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_OP2,93906070,I,433009,1433050,Region,South West,0,,0,1,CHVACCCOP2,NGDHS2003433009,2003,DHS,81,104,,,1
NGA,South South,6688664,Polio 2 vaccination received,77.2,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_OP2,93906070,I,433010,1433060,Region,South South,0,,0,1,CHVACCCOP2,NGDHS2003433010,2003,DHS,120,92,,,1
NGA,North Central,7226201,Polio 3 vaccination received,36.8,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_OP3,93906080,I,433005,1433010,Region,North Central,0,,0,1,CHVACCCOP3,NGDHS2003433005,2003,DHS,149,181,,,1
NGA,North East,5429057,Polio 3 vaccination received,24.8,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_OP3,93906080,I,433006,1433020,Region,North East,0,,0,1,CHVACCCOP3,NGDHS2003433006,2003,DHS,219,236,,,1
NGA,North West,2102134,Polio 3 vaccination received,16.4,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_OP3,93906080,I,433007,1433030,Region,North West,0,,0,1,CHVACCCOP3,NGDHS2003433007,2003,DHS,356,311,,,1
NGA,South East,6894071,Polio 3 vaccination received,57.4,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_OP3,93906080,I,433008,1433040,Region,South East,0,,0,1,CHVACCCOP3,NGDHS2003433008,2003,DHS,74,91,,,1
NGA,South West,7553934,Polio 3 vaccination received,44.8,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_OP3,93906080,I,433009,1433050,Region,South West,0,,0,1,CHVACCCOP3,NGDHS2003433009,2003,DHS,81,104,,,1
NGA,South South,6688702,Polio 3 vaccination received,40,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_OP3,93906080,I,433010,1433060,Region,South South,0,,0,1,CHVACCCOP3,NGDHS2003433010,2003,DHS,120,92,,,1
NGA,North Central,7226195,Measles vaccination received,44.6,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_MSL,93906090,I,433005,1433010,Region,North Central,0,,0,1,CHVACCCMSL,NGDHS2003433005,2003,DHS,149,181,,,1
NGA,North East,5429010,Measles vaccination received,22.5,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_MSL,93906090,I,433006,1433020,Region,North East,0,,0,1,CHVACCCMSL,NGDHS2003433006,2003,DHS,219,236,,,1
NGA,North West,2102125,Measles vaccination received,15.6,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_MSL,93906090,I,433007,1433030,Region,North West,0,,0,1,CHVACCCMSL,NGDHS2003433007,2003,DHS,356,311,,,1
NGA,South East,6894066,Measles vaccination received,64.1,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_MSL,93906090,I,433008,1433040,Region,South East,0,,0,1,CHVACCCMSL,NGDHS2003433008,2003,DHS,74,91,,,1
NGA,South West,7553929,Measles vaccination received,73.1,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_MSL,93906090,I,433009,1433050,Region,South West,0,,0,1,CHVACCCMSL,NGDHS2003433009,2003,DHS,81,104,,,1
